Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46987,2,0,0.75,1.0,0.8571428571428571,0.9999574422810937
data202526b_corrupted,7,111159,1,0,0.875,1.0,0.9333333333333333,0.9999910045247241
synth_anisotropic,40,936,14,10,0.7407407407407407,0.8,0.7692307692307692,0.976
synth_concentric,29,930,20,21,0.5918367346938775,0.58,0.5858585858585857,0.959
synth_concentric_noisy,51,876,4,69,0.9272727272727272,0.425,0.5828571428571427,0.927
synth_diagonal,37,943,7,13,0.8409090909090909,0.74,0.7872340425531915,0.98
synth_easy,20,938,42,0,0.3225806451612903,1.0,0.4878048780487805,0.958
synth_ellipses,34,948,2,16,0.9444444444444444,0.68,0.7906976744186047,0.982
synth_grid,50,775,15,0,0.7692307692307693,1.0,0.8695652173913044,0.9821428571428571
synth_hard,49,748,2,201,0.9607843137254902,0.196,0.32558139534883723,0.797
synth_mixed_hard,68,917,3,12,0.9577464788732394,0.85,0.9006622516556291,0.985
synth_s_curves,33,942,8,17,0.8048780487804879,0.66,0.7252747252747254,0.975
synth_shapes,44,945,5,6,0.8979591836734694,0.88,0.888888888888889,0.989
synth_spirals,31,942,8,19,0.7948717948717948,0.62,0.6966292134831461,0.973
synth_spirals_noisy,44,848,2,106,0.9565217391304348,0.29333333333333333,0.44897959183673475,0.892
