Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46995,0,0,1.0,1.0,1.0,1.0
data202526b_corrupted,7,111163,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,40,934,16,10,0.7142857142857143,0.8,0.7547169811320756,0.974
synth_concentric,30,924,26,20,0.5357142857142857,0.6,0.5660377358490566,0.954
synth_concentric_noisy,53,875,5,67,0.9137931034482759,0.44166666666666665,0.5955056179775281,0.928
synth_diagonal,38,933,17,12,0.6909090909090909,0.76,0.7238095238095238,0.971
synth_easy,16,980,0,4,1.0,0.8,0.888888888888889,0.996
synth_ellipses,37,935,15,13,0.7115384615384616,0.74,0.7254901960784313,0.972
synth_grid,47,790,0,3,1.0,0.94,0.9690721649484536,0.9964285714285714
synth_hard,86,744,6,164,0.9347826086956522,0.344,0.5029239766081871,0.83
synth_mixed_hard,67,909,11,13,0.8589743589743589,0.8375,0.8481012658227848,0.976
synth_s_curves,32,939,11,18,0.7441860465116279,0.64,0.6881720430107526,0.971
synth_shapes,44,946,4,6,0.9166666666666666,0.88,0.8979591836734694,0.99
synth_spirals,32,928,22,18,0.5925925925925926,0.64,0.6153846153846153,0.96
synth_spirals_noisy,55,845,5,95,0.9166666666666666,0.36666666666666664,0.5238095238095238,0.9
