Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46989,0,0,1.0,1.0,1.0,1.0
data202526b_corrupted,7,111160,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,40,934,16,10,0.7142857142857143,0.8,0.7547169811320756,0.974
synth_concentric,26,933,17,24,0.6046511627906976,0.52,0.5591397849462365,0.959
synth_concentric_noisy,44,875,5,76,0.8979591836734694,0.36666666666666664,0.5207100591715976,0.919
synth_diagonal,37,943,7,13,0.8409090909090909,0.74,0.7872340425531915,0.98
synth_easy,16,980,0,4,1.0,0.8,0.888888888888889,0.996
synth_ellipses,33,949,1,17,0.9705882352941176,0.66,0.7857142857142857,0.982
synth_grid,47,790,0,3,1.0,0.94,0.9690721649484536,0.9964285714285714
synth_hard,52,747,3,198,0.9454545454545454,0.208,0.34098360655737703,0.799
synth_mixed_hard,67,914,6,13,0.9178082191780822,0.8375,0.8758169934640524,0.981
synth_s_curves,32,941,9,18,0.7804878048780488,0.64,0.7032967032967035,0.973
synth_shapes,44,949,1,6,0.9777777777777777,0.88,0.9263157894736842,0.993
synth_spirals,28,940,10,22,0.7368421052631579,0.56,0.6363636363636364,0.968
synth_spirals_noisy,37,846,4,113,0.9024390243902439,0.24666666666666667,0.387434554973822,0.883
