Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46995,0,0,1.0,1.0,1.0,1.0
data202526b_corrupted,7,111163,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,0,947,2,51,0.0,0.0,0.0,0.947
synth_concentric,0,948,1,51,0.0,0.0,0.0,0.948
synth_concentric_noisy,0,879,0,121,0.0,0.0,0.0,0.879
synth_diagonal,0,948,1,51,0.0,0.0,0.0,0.948
synth_easy,0,979,0,21,0.0,0.0,0.0,0.979
synth_ellipses,0,948,1,51,0.0,0.0,0.0,0.948
synth_grid,0,789,0,51,0.0,0.0,0.0,0.9392857142857143
synth_hard,0,747,2,251,0.0,0.0,0.0,0.747
synth_mixed_hard,0,919,0,81,0.0,0.0,0.0,0.919
synth_s_curves,0,949,0,51,0.0,0.0,0.0,0.949
synth_shapes,0,949,0,51,0.0,0.0,0.0,0.949
synth_spirals,0,947,2,51,0.0,0.0,0.0,0.947
synth_spirals_noisy,0,849,0,151,0.0,0.0,0.0,0.849
