Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46989,0,0,1.0,1.0,1.0,1.0
data202526b_corrupted,7,111160,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,0,950,0,50,0.0,0.0,0.0,0.95
synth_concentric,0,950,0,50,0.0,0.0,0.0,0.95
synth_concentric_noisy,0,880,0,120,0.0,0.0,0.0,0.88
synth_diagonal,0,950,0,50,0.0,0.0,0.0,0.95
synth_easy,0,980,0,20,0.0,0.0,0.0,0.98
synth_ellipses,0,950,0,50,0.0,0.0,0.0,0.95
synth_grid,0,790,0,50,0.0,0.0,0.0,0.9404761904761905
synth_hard,0,750,0,250,0.0,0.0,0.0,0.75
synth_mixed_hard,0,920,0,80,0.0,0.0,0.0,0.92
synth_s_curves,0,950,0,50,0.0,0.0,0.0,0.95
synth_shapes,0,950,0,50,0.0,0.0,0.0,0.95
synth_spirals,0,950,0,50,0.0,0.0,0.0,0.95
synth_spirals_noisy,0,850,0,150,0.0,0.0,0.0,0.85
