Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,0,46900,89,6,0.0,0.0,0.0,0.9979785083519523
data202526b_corrupted,0,111147,13,7,0.0,0.0,0.0,0.9998200904944813
synth_anisotropic,27,927,23,23,0.54,0.54,0.54,0.954
synth_concentric,31,931,19,19,0.62,0.62,0.62,0.962
synth_concentric_noisy,50,880,0,70,1.0,0.4166666666666667,0.5882352941176471,0.93
synth_diagonal,28,928,22,22,0.56,0.56,0.56,0.956
synth_easy,8,978,2,12,0.8,0.4,0.5333333333333333,0.986
synth_ellipses,30,930,20,20,0.6,0.6,0.6,0.96
synth_grid,2,790,0,48,1.0,0.04,0.07692307692307693,0.9428571428571428
synth_hard,50,750,0,200,1.0,0.2,0.33333333333333337,0.8
synth_mixed_hard,48,918,2,32,0.96,0.6,0.7384615384615384,0.966
synth_s_curves,28,928,22,22,0.56,0.56,0.56,0.956
synth_shapes,21,921,29,29,0.42,0.42,0.41999999999999993,0.942
synth_spirals,24,924,26,26,0.48,0.48,0.48,0.948
synth_spirals_noisy,1,850,0,149,1.0,0.006666666666666667,0.013245033112582783,0.851
