Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,4,46989,0,2,1.0,0.6666666666666666,0.8,0.9999574422810937
data202526b_corrupted,7,111160,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,41,930,20,9,0.6721311475409836,0.82,0.7387387387387387,0.971
synth_concentric,30,923,27,20,0.5263157894736842,0.6,0.5607476635514018,0.953
synth_concentric_noisy,67,873,7,53,0.9054054054054054,0.5583333333333333,0.690721649484536,0.94
synth_diagonal,34,937,13,16,0.723404255319149,0.68,0.7010309278350516,0.971
synth_easy,16,980,0,4,1.0,0.8,0.888888888888889,0.996
synth_ellipses,36,945,5,14,0.8780487804878049,0.72,0.7912087912087912,0.981
synth_grid,47,790,0,3,1.0,0.94,0.9690721649484536,0.9964285714285714
synth_hard,106,750,0,144,1.0,0.424,0.5955056179775281,0.856
synth_mixed_hard,62,908,12,18,0.8378378378378378,0.775,0.8051948051948051,0.97
synth_s_curves,31,939,11,19,0.7380952380952381,0.62,0.6739130434782609,0.97
synth_shapes,40,945,5,10,0.8888888888888888,0.8,0.8421052631578948,0.985
synth_spirals,25,939,11,25,0.6944444444444444,0.5,0.5813953488372093,0.964
synth_spirals_noisy,54,847,3,96,0.9473684210526315,0.36,0.5217391304347826,0.901
