Dataset,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
data202526a_corrupted,6,46989,0,0,1.0,1.0,1.0,1.0
data202526b_corrupted,7,111160,0,0,1.0,1.0,1.0,1.0
synth_anisotropic,40,935,15,10,0.7272727272727273,0.8,0.761904761904762,0.975
synth_concentric,36,921,29,14,0.5538461538461539,0.72,0.6260869565217391,0.957
synth_concentric_noisy,57,863,17,63,0.7702702702702703,0.475,0.5876288659793815,0.92
synth_diagonal,38,926,24,12,0.6129032258064516,0.76,0.6785714285714285,0.964
synth_easy,16,980,0,4,1.0,0.8,0.888888888888889,0.996
synth_ellipses,42,934,16,8,0.7241379310344828,0.84,0.7777777777777777,0.976
synth_grid,47,790,0,3,1.0,0.94,0.9690721649484536,0.9964285714285714
synth_hard,123,738,12,127,0.9111111111111111,0.492,0.638961038961039,0.861
synth_mixed_hard,69,912,8,11,0.8961038961038961,0.8625,0.8789808917197451,0.981
synth_s_curves,33,937,13,17,0.717391304347826,0.66,0.6875,0.97
synth_shapes,43,948,2,7,0.9555555555555556,0.86,0.9052631578947369,0.991
synth_spirals,37,921,29,13,0.5606060606060606,0.74,0.6379310344827586,0.958
synth_spirals_noisy,71,836,14,79,0.8352941176470589,0.47333333333333333,0.6042553191489362,0.907
